station_abbr,reference_timestamp,air_temperature_2_m_above_ground,air_temperature_at_5_cm_above_grass,air_temperature_at_surface,chill_temperature,relative_air_humidity_2_m_above_ground,dew_point_2_m_above_ground,vapour_pressure_2_m_above_ground,atmospheric_pressure_at_barometric_altitude_qfe,pressure_reduced_to_sea_level_according_to_standard_atmosphere_qnh,pressure_reduced_to_sea_level_qff,geopotential_height_of_the_850_hpa_level,geopotential_height_of_the_700_hpa_level,gust_peak_one_second,wind_speed_vectoriel,wind_speed_scalar,wind_direction,foehn_index,wind_speed,gust_peak_three_seconds,gust_peak_one_second,gust_peak_three_seconds,precipitation,snow_depth_automatic_measurement,global_radiation,diffuse_radiation,longwave_incoming_radiation,longwave_outgoing_radiation,shortwave_reflected_radiation,sunshine_duration,tso005s0,tso010s0,tso020s0
TAE,2025-12-03 00:00:00,0.0,0.3,0.2,0.0,97.7,-0.3,6.0,951.1,1014.3,1016.9,,,2.5,0.9,0.9,133,,3.2,2.4,9.0,8.6,0.0,0.0,1,0.0,315.0,320.0,-7,0,3.9,5.1,4.5
TAE,2025-12-03 00:10:00,-0.1,0.3,0.3,-0.1,100.0,-0.1,6.1,951.1,1014.3,1016.9,,,2.4,0.7,0.8,126,,2.9,2.3,8.6,8.3,0.0,0.0,1,0.0,315.0,320.0,-7,0,3.9,5.1,4.5
TAE,2025-12-03 00:20:00,0.0,0.3,0.3,0.0,100.0,0.0,6.1,951.0,1014.2,1016.7,,,1.8,0.9,0.9,139,,3.2,1.8,6.5,6.5,0.0,0.0,1,0.0,316.0,320.0,-6,0,3.9,5.1,4.5
TAE,2025-12-03 00:30:00,0.1,0.4,0.4,0.1,99.0,0.0,6.1,951.0,1014.2,1016.7,,,2.2,0.8,0.9,135,,3.2,2.1,7.9,7.6,0.0,0.0,1,0.0,316.0,320.0,-6,0,3.9,5.1,4.5
TAE,2025-12-03 00:40:00,0.2,0.5,0.5,0.2,100.0,0.2,6.2,951.0,1014.2,1016.7,,,2.0,0.7,0.8,132,,2.9,2.0,7.2,7.2,0.0,0.0,1,0.0,317.0,321.0,-6,0,3.9,5.1,4.5
TAE,2025-12-03 00:50:00,0.2,0.5,0.5,0.2,100.0,0.2,6.2,951.0,1014.2,1016.7,,,2.0,0.6,0.7,109,,2.5,2.0,7.2,7.2,0.0,0.0,1,0.0,317.0,321.0,-6,0,3.9,5.1,4.5
TAE,2025-12-03 01:00:00,0.1,0.6,0.6,0.1,99.3,0.0,6.1,950.9,1014.1,1016.6,,,2.4,0.7,0.8,130,,2.9,2.3,8.6,8.3,0.0,0.0,1,0.0,317.0,321.0,-6,0,3.9,5.1,4.5
TAE,2025-12-03 01:10:00,0.1,0.6,0.6,0.1,100.0,0.1,6.2,950.8,1014.0,1016.5,,,1.4,0.7,0.8,111,,2.9,1.4,5.0,5.0,0.0,0.0,1,0.0,317.0,321.0,-6,0,3.9,5.1,4.5
TAE,2025-12-03 01:20:00,0.2,0.7,0.7,0.2,100.0,0.2,6.2,950.8,1014.0,1016.5,,,1.6,0.4,0.5,110,,1.8,1.6,5.8,5.8,0.0,0.0,1,0.0,317.0,321.0,-6,0,3.9,5.1,4.5
TAE,2025-12-03 01:30:00,0.3,0.7,0.7,0.3,99.1,0.2,6.2,950.7,1013.9,1016.4,,,1.7,0.8,0.8,117,,2.9,1.6,6.1,5.8,0.0,0.0,1,0.0,318.0,321.0,-6,0,3.9,5.1,4.5
TAE,2025-12-03 01:40:00,0.3,0.7,0.7,0.3,99.8,0.3,6.2,950.6,1013.8,1016.2,,,1.7,0.7,0.7,114,,2.5,1.7,6.1,6.1,0.0,0.0,1,0.0,318.0,322.0,-6,0,3.9,5.1,4.5
TAE,2025-12-03 01:50:00,0.3,0.7,0.7,0.3,100.0,0.3,6.2,950.4,1013.6,1016.0,,,1.3,0.5,0.6,107,,2.2,1.3,4.7,4.7,0.0,0.0,1,0.0,318.0,322.0,-6,0,3.9,5.1,4.5
TAE,2025-12-03 02:00:00,0.4,0.8,0.7,0.4,98.2,0.1,6.2,950.4,1013.6,1016.0,,,1.9,0.8,0.8,135,,2.9,1.8,6.8,6.5,0.0,0.0,1,0.0,318.0,322.0,-6,0,3.9,5.1,4.5
TAE,2025-12-03 02:10:00,0.5,0.7,0.7,0.5,97.8,0.2,6.2,950.3,1013.4,1015.9,,,1.5,0.7,0.7,133,,2.5,1.5,5.4,5.4,0.0,0.0,1,0.0,317.0,321.0,-6,0,3.9,5.1,4.5
TAE,2025-12-03 02:20:00,0.4,0.8,0.7,0.4,99.0,0.3,6.2,950.2,1013.3,1015.8,,,1.4,0.6,0.6,114,,2.2,1.3,5.0,4.7,0.0,0.0,1,0.0,317.0,322.0,-6,0,3.9,5.1,4.5
TAE,2025-12-03 02:30:00,0.4,0.8,0.8,0.4,98.0,0.1,6.2,950.1,1013.2,1015.7,,,1.2,0.5,0.5,124,,1.8,1.1,4.3,4.0,0.0,0.0,1,0.0,318.0,322.0,-6,0,3.9,5.1,4.5
TAE,2025-12-03 02:40:00,0.5,0.8,0.8,0.5,98.8,0.3,6.3,950.1,1013.2,1015.7,,,0.8,0.3,0.3,112,,1.1,0.8,2.9,2.9,0.0,0.0,1,0.0,318.0,322.0,-6,0,3.9,5.1,4.5
TAE,2025-12-03 02:50:00,0.6,0.8,0.8,0.6,99.0,0.5,6.3,950.0,1013.1,1015.5,,,1.1,0.6,0.7,97,,2.5,1.1,4.0,4.0,0.0,0.0,1,0.0,318.0,322.0,-6,0,3.9,5.1,4.5
TAE,2025-12-03 03:00:00,0.7,0.9,0.9,0.7,97.7,0.4,6.3,950.0,1013.1,1015.5,,,1.7,0.7,0.7,107,,2.5,1.6,6.1,5.8,0.0,0.0,1,0.0,318.0,322.0,-6,0,3.9,5.1,4.5
TAE,2025-12-03 03:10:00,0.8,0.9,0.8,0.8,96.8,0.4,6.3,949.9,1013.0,1015.4,,,2.0,1.0,1.0,125,,3.6,1.9,7.2,6.8,0.0,0.0,1,0.0,318.0,322.0,-7,0,3.9,5.1,4.5
TAE,2025-12-03 03:20:00,0.6,0.9,0.8,0.6,98.1,0.3,6.3,949.9,1013.0,1015.4,,,2.3,1.2,1.3,129,,4.7,2.2,8.3,7.9,0.0,0.0,1,0.0,318.0,322.0,-7,0,3.9,5.1,4.5
