station_abbr,reference_timestamp,air_temperature_2_m_above_ground,air_temperature_2_m_above_ground,air_temperature_2_m_above_ground,air_temperature_at_5_cm_above_grass,air_temperature_at_5_cm_above_grass,relative_air_humidity_2_m_above_ground,vapour_pressure_2_m_above_ground,dew_point_2_m_above_ground,atmospheric_pressure_at_barometric_altitude_qfe,pressure_reduced_to_sea_level_qff,pressure_reduced_to_sea_level_according_to_standard_atmosphere_qnh,geopotential_height_of_the_700_hpa_level,geopotential_height_of_the_850_hpa_level,gust_peak_one_second,wind_direction,wind_speed_scalar,wind_speed_scalar,gust_peak_one_second,gust_peak_three_seconds,gust_peak_three_seconds,foehn_index,wind_speed_vectorial,precipitation,snow_depth_automatic_measurement,global_radiation,longwave_incoming_radiation,longwave_outgoing_radiation,shortwave_reflected_radiation,diffuse_radiation,sunshine_duration,reference_evaporation_from_fao,tso005hs,tso010hs,tso020hs
TAE,2025-12-05 00:00:00,1.4,1.3,1.5,1.4,1.1,96.1,6.5,0.8,944.4,1009.3,1007.2,,,0.7,90,0.3,1.1,2.5,0.7,2.5,,,0.0,0,1,317,324,-6,,0,-0.001,4.3,5.3,4.8
TAE,2025-12-05 01:00:00,1.5,1.4,1.5,1.3,1.2,96.0,6.5,0.9,944.5,1009.4,1007.3,,,0.7,135,0.2,0.7,2.5,0.7,2.5,,,0.0,0,1,312,323,-6,,0,-0.001,4.2,5.3,4.8
TAE,2025-12-05 02:00:00,1.4,1.4,1.4,1.3,1.3,96.7,6.5,0.9,944.7,1009.7,1007.6,,,0.6,45,0.1,0.4,2.2,0.5,1.8,,,0.0,0,1,314,323,-6,,0,-0.001,4.2,5.3,4.7
TAE,2025-12-05 03:00:00,1.4,1.3,1.5,1.5,1.4,97.3,6.6,1.0,944.9,1009.9,1007.8,,,0.4,180,0.1,0.4,1.4,0.4,1.4,,,0.2,0,1,320,324,-6,,0,-0.001,4.2,5.3,4.7
TAE,2025-12-05 04:00:00,1.6,1.5,1.7,1.6,1.5,96.6,6.6,1.1,945.2,1010.1,1008.1,,,0.1,0,0.0,0.0,0.4,0.1,0.4,,,0.4,0,1,322,325,-6,,0,-0.001,4.2,5.3,4.7
TAE,2025-12-05 05:00:00,1.8,1.7,1.9,1.8,1.7,96.7,6.7,1.3,945.8,1010.7,1008.7,,,0.3,0,0.1,0.4,1.1,0.3,1.1,,,0.7,0,1,326,326,-6,,0,-0.001,4.2,5.2,4.7
TAE,2025-12-05 06:00:00,2.0,1.9,2.1,1.9,1.8,96.0,6.8,1.4,946.4,1011.3,1009.3,,,0.3,135,0.1,0.4,1.1,0.3,1.1,,,0.3,0,1,324,326,-6,,0,-0.001,4.2,5.2,4.7
TAE,2025-12-05 07:00:00,2.0,1.8,2.1,1.7,1.5,96.5,6.8,1.5,947.0,1012.0,1010.0,,,1.3,180,0.2,0.7,4.7,1.3,4.7,,,0.2,0,1,316,324,-6,,0,-0.001,4.2,5.2,4.7
TAE,2025-12-05 08:00:00,2.6,2.5,2.8,2.6,2.2,92.8,6.9,1.6,947.7,1012.5,1010.7,,,1.9,207,0.7,2.5,6.8,1.9,6.8,,,0.1,0,20,323,330,-2,,0,0.012,4.2,5.2,4.7
TAE,2025-12-05 09:00:00,3.1,2.6,3.5,3.6,3.1,93.0,7.1,2.1,948.2,1013.0,1011.2,,,1.1,135,0.3,1.1,4.0,1.1,4.0,,,0.1,0,65,320,337,8,,0,0.028,4.3,5.2,4.7
TAE,2025-12-05 10:00:00,3.6,3.4,4.0,4.9,4.5,93.9,7.4,2.7,948.9,1013.5,1012.0,,,1.5,51,0.7,2.5,5.4,1.5,5.4,,,0.0,0,120,323,344,19,,0,0.048,4.5,5.2,4.7
TAE,2025-12-05 11:00:00,4.4,4.2,4.6,5.1,4.8,85.6,7.2,2.2,949.2,1013.7,1012.3,,,2.4,277,1.0,3.6,8.6,2.3,8.3,,,0.0,0,117,325,347,19,,0,0.054,4.7,5.2,4.8
TAE,2025-12-05 12:00:00,4.5,4.4,4.6,5.3,4.9,84.2,7.1,2.1,949.2,1013.7,1012.3,,,2.4,243,1.0,3.6,8.6,2.4,8.6,,,0.0,0,127,324,348,21,,0,0.058,4.9,5.2,4.9
TAE,2025-12-05 13:00:00,4.6,4.5,4.8,5.1,4.8,84.1,7.2,2.2,949.4,1013.9,1012.5,,,2.2,246,1.0,3.6,7.9,2.2,7.9,,,0.0,0,92,329,346,14,,0,0.047,5.1,5.3,4.9
TAE,2025-12-05 14:00:00,4.7,4.6,4.8,4.8,4.6,84.3,7.2,2.3,949.7,1014.2,1012.8,,,2.0,264,1.0,3.6,7.2,1.9,6.8,,,0.0,0,70,318,343,9,,0,0.037,5.2,5.3,5.1
